ID,Start time,Completion time,Email,Name,Language,Last modified time,Did you go through the entire 6 week Assistive Technology Academy program?*,"How much more confident do you feel using assistive technology in a work setting now compared to before the Assistive Technology Academy?
","How effective were the morning lectures in reinforcing your learning of assistive technology?
","Do you have any comments on our lectures that you would like to share with us? If so, please write them here:",How effective were the afternoon labs or Friday practice Labs in reinforcing your learning of assistive technology?*:,"Do you have any comments on our labs that you would like to share with us? If so, please write them here:","Did the homework assignments, workbook and capstone project help reinforce your learning of assistive technology?*:","Do you have any comments on our homework, workbook or capstone project that you would like to share with us? If so, please write them here:",How often did you practice using your assistive technology outside of the program sessions?*:,What was the most valuable  part of the program for you?*?:,What could we improve to make future offerings of the Assistive Technology Academy more effective? ,Are there any additional resources or support that you would have liked during the Assistive Technology Academy?
2,3/14/25 16:06:22,3/14/25 16:07:29,anonymous,,,,No,Somewhat confident,Somewhat effective,,Somewhat effective,,"Yes, definitely",,Several times a week,I wasn't able to complete this program.,,
3,3/14/25 16:11:45,3/14/25 16:12:25,anonymous,,,,Yes,Very confident,Very effective,,Very effective,,"Yes, definitely",,Several times a week, ,,
4,3/19/25 19:27:27,3/19/25 19:34:54,anonymous,,,,Yes,Extremely confident,Somewhat effective,,Somewhat effective,,"Yes, definitely",,Daily,The multiple insights from the different tech trainers,N/A,N/A
5,3/19/25 19:17:10,3/19/25 19:37:02,anonymous,,,,Yes,Very confident,Very effective,,Very effective,,"Yes, definitely",,Several times a week,The most valuable part of the program was the chance to make my own digital portfolio using Linktree as a platform.,I think a more indepth and advanced training session would be benificial for many.,
6,3/20/25 0:38:14,3/20/25 1:14:33,anonymous,,,,Yes,Somewhat confident,Very effective,"Each week we were met with a lecture similar to a university course. The tech trairers took the time and thoughtfully answered ALL our questions. Each member of the team worked seamlessly to find the right way to explane topics in detial. The topics varied based upon the subject matter. The most important things I want to share:
- The trainers had a wealth of knowledge to draw upon
- The topics were matched perfectly to what future employers want to see
- The participants were treated with humility and honoured-never left to feel like any question was unintelligent
- The WHOLE experience has changed my life for the better :)
 ",Very effective,"I honestly loved the one on one time in the break out rooms. The trainers helped those of us who needed extra support and that made the world of difference. I probably wouldn't have been able to keep going if not for the consistent and individualized help  provided in these labs.
","Yes, definitely","The homework was reasonable fo r the task assigned.
For future users, the tip sheets could be streamlined based upon the system each participant is using (e.i. mac, jaws et)
You guys really nailed it!",Daily,"Each part had value however, if I had to choose one thing that stood out to me I would say that learning ALL of the applications below:
-creating a g-mail
- Creating a Linktree
-Creating a XL spreadsheet
- Creating a Calendly account
- Creating a google form
Having a fun and interactive way for employers to view our work and to simply connect with the world around us I LOVED THIS PROGRAM!!!",The only advice I give would be to streamline the tip sheet for the type of assistive technology that the participant will be using .,"Perhaps, there could be a workbook in the future...
"
7,3/21/25 12:05:01,3/21/25 12:31:58,anonymous,,,,Yes,Very confident,Very effective, The earlier seasons were a little unorganized especially the breakout rooms and questions' timing.,Very effective,Troubleshooting should be considered,"Yes, definitely",,Daily,Exposure to new platforms,Separate users based on their screen  readers,
8,3/21/25 12:07:55,3/21/25 16:24:47,anonymous,,,,Yes,Somewhat confident,Very effective,"The Monday lectures were very effective in that you would let the class know what the tool is, how, why, to use it and when it would or would not be a good time for this. Always answering questions, for example during  storage and saving there were many questions , options and much clarification.",Very effective,The labs on Wednesday gave you the chance to follow or try your hand at what the lecture had been about e.g. forms.  As always you could contact your trainer for help.,"Yes, definitely","The homework was to use what, you had learned in class to complete it.  You need to use what you were taught in order to do your presentation.",Rarely,"Learning about A.I. was what I found most valuable to me, I did not know that it could be used in so many ways, once you learn how to speak to it properly.  Also, storage and how important it is to make sure things are saved appropriately.","During optional labs you could offer break out  rooms.  Even the smartest person might be stuck on one thing and may need help, people learn at different rates, it doesn't mean they don't belong there.",
9,4/5/25 0:35:03,4/5/25 0:46:51,anonymous,,,,Yes,Somewhat confident,Somewhat effective,The format of the lectures improved as the sessions progressed.  Sometimes some of the hosts screenreaders were interfering with the lecture.  I  found it difficult to navigate along.  May I suggest that next time a course synopisis be supplied that outlines each week including the homework and outcomes expected.  I  like to be able to check off a  list to ensure I  have delivered all requirements.  I am still learning to use my auditory processing skills.  ,Somewhat effective,"I  found the labs difficult to follow.  At the beginning I  was unclear on how I should be following along.  I  am unable to listen and follow along with my screenreader at the same time.  As my skill progressed, I  settled in and was able to work through the expectations and ask for assistance.  I did not follow along with each students question and worked on my own.","Yes, definitely",I  feel confident to create a  new project on my own.  I  think that to bring it to the next level that it would be good to get feedback on the formatting and final product.  ,Daily,Gaining confidence to work with more office 365 products and other applications.  I  am excited to work with microsoft forms as I  build a survey for a  project I am working on.  I also plan on building a linktree blog for my bi-weekly news column.,Please see previous comments,Feedback on formatting
10,4/6/25 9:33:34,4/6/25 10:44:00,anonymous,,,,Yes,Somewhat confident,Somewhat effective,I found that multi voices was confusing.,Somewhat effective,"I found the lectures interesting, but the information is not what I needed at the moment. The teachers were good.My issue is more that I am struggling to follow voice and audio cues.
 ",Somewhat,"Perhaps it may be of some value in the future, but for now I need to focus on mastering basic functions.
",Several times a week,"Hearing that others share some of my challenges
","clarifying what subject matter will be, course outline and functional level required and that one's system is setup appropriately 
","
one on one support. I personally could handle a group of three, but more was confusing "
11,4/6/25 15:51:32,4/6/25 16:17:02,anonymous,,,,Yes,Very confident,Very effective,,Very effective,,"Yes, definitely",,Several times a week," Calendly, Outlook, MicrosoftForms and Linktree. Most importantly, friendly environment of the sessions.","If you can give Tipsheets before Monday session, I think it will give them a chance to familiarize themselves beforehand. Because new lesson with no familiarity can make it very difficult and hard to focus during the Monday sessions.",
